MAE,RMSE,R2 Score,MAPE,Accuracy,Precision,Recall,F1 Score,AUC,Model
0.017163480157381894,0.0222174652337418,0.8237680240585075,164.41916751539515,0.8290468986384266,0.7979539641943734,0.9017341040462428,0.8466757123473542,0.9155518854940821,BA_full_Training
0.03849286516723666,0.051901291401365915,0.05570341161009995,127.30844095410623,0.5727554179566563,0.5848101265822785,0.673469387755102,0.6260162601626016,0.6025459688826026,BA_fin_Training
0.04208692818665216,0.05525149531245885,-0.07013893383041259,222.50126053012184,0.46439628482972134,0.49504950495049505,0.43731778425655976,0.4643962848297214,0.4940391998383512,BA_news_Training
0.058245511218103,0.0773006378307304,-1.0946827073795813,551.468594890538,0.5,0.5295857988165681,0.521865889212828,0.525697503671072,0.4842055634134842,BA_baseline_Training
0.0331943402925969,0.04508215952302674,-0.02945314882575567,729.134831622311,0.6829268292682927,0.5217391304347826,0.8571428571428571,0.6486486486486486,0.6349206349206349,BA_full_Validation
0.03029966076112893,0.04376402258822378,0.029866212015890348,1068.37995603268,0.5365853658536586,0.3076923076923077,0.2857142857142857,0.29629629629629634,0.5502645502645502,BA_fin_Validation
0.03139278045848337,0.0448317185388989,-0.01804725578200017,201.91349923627308,0.4634146341463415,0.3,0.42857142857142855,0.3529411764705882,0.44179894179894186,BA_news_Validation
0.05387431465331094,0.0673857250739929,-1.3000272160327757,3283.2633825019366,0.3902439024390244,0.21052631578947367,0.2857142857142857,0.24242424242424243,0.35449735449735453,BA_baseline_Validation
0.04164967137694798,0.04860038311132077,-0.20633672054466312,157.21916393422427,0.5818181818181818,0.5151515151515151,0.7083333333333334,0.5964912280701754,0.6330645161290323,BA_full_Testing
0.03704413789030918,0.04262201346692225,0.07219419334935628,102.41204756853075,0.6,0.5833333333333334,0.2916666666666667,0.38888888888888895,0.6505376344086022,BA_fin_Testing
0.037508804774502996,0.04488478078901758,-0.028933670726575267,97.06248724453114,0.5818181818181818,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.5913978494623656,BA_news_Testing
0.03454779556360529,0.04492745968826995,-0.030891333591188452,173.26064224553096,0.7636363636363637,0.7894736842105263,0.625,0.6976744186046512,0.8051075268817205,BA_baseline_Testing
0.052513483421504255,0.06894884226943439,0.45118278326403505,930.7946405924632,0.7070815450643777,0.701123595505618,0.6902654867256637,0.6956521739130436,0.7926714601769912,BTC-USD_full_Training
0.058389153813269486,0.07577549785367375,0.33712541643741356,587.1087623356892,0.6405579399141631,0.6370023419203747,0.6017699115044248,0.6188850967007964,0.7120575221238938,BTC-USD_fin_Training
0.059983269194024136,0.08192944546666123,0.22508547529231282,835.6433224619227,0.648068669527897,0.6441860465116279,0.6128318584070797,0.6281179138321995,0.704060656342183,BTC-USD_news_Training
0.09993075549089328,0.1309908499213039,-0.980868703741484,814.297912071779,0.463519313304721,0.44642857142857145,0.4424778761061947,0.44444444444444453,0.47144174041297937,BTC-USD_baseline_Training
0.027806651734392795,0.03584069318487602,0.42256256759745636,1686.0406403860072,0.75,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.8482142857142858,BTC-USD_full_Validation
0.028010257644643783,0.033225277569005125,0.5037627425908129,1264.083246099282,0.8035714285714286,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.8596938775510203,BTC-USD_fin_Validation
0.033364328623079115,0.046032942510411026,0.047445998615371576,768.0246588332728,0.6785714285714286,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.7028061224489796,BTC-USD_news_Validation
0.055676433888916965,0.07235780332111309,-1.353547024211998,3765.5945752948137,0.44642857142857145,0.44,0.39285714285714285,0.4150943396226415,0.4094387755102041,BTC-USD_baseline_Validation
0.04894169611186421,0.0708794313219273,-0.4787138103345492,186.34566120748562,0.6938775510204082,0.8484848484848485,0.7368421052631579,0.7887323943661972,0.6004784688995215,BTC-USD_full_Testing
0.04980431792724532,0.06647502277266602,-0.3006506717272004,234.22849440334642,0.7551020408163265,0.7708333333333334,0.9736842105263158,0.8604651162790697,0.4569377990430622,BTC-USD_fin_Testing
0.06052630608507576,0.07817316506371905,-0.7987013969012213,153.4780316790568,0.4897959183673469,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.4688995215311005,BTC-USD_news_Testing
0.06982081950409716,0.08333180608693083,-1.043926475276863,409.2511087215474,0.6326530612244898,0.75,0.7894736842105263,0.7692307692307692,0.4138755980861244,BTC-USD_baseline_Testing
0.03306725774440544,0.047212338780317574,0.6224826647508681,372.3119879915999,0.7724458204334366,0.7360406091370558,0.8708708708708709,0.7977991746905089,0.8654788974277793,NFLX_full_Training
0.04981918987310718,0.07611117801217468,0.01887858141247878,193.82698886571882,0.5696594427244582,0.7099236641221374,0.27927927927927926,0.4008620689655172,0.6056951520210306,NFLX_fin_Training
0.05199242552494339,0.07936186256919418,-0.0667178757074256,234.8286930802002,0.4938080495356037,0.5441176470588235,0.1111111111111111,0.18453865336658354,0.4911109192259352,NFLX_news_Training
0.07379161875585433,0.1087863579638535,-1.0043554619342565,634.02501871276,0.5092879256965944,0.5242424242424243,0.5195195195195195,0.521870286576169,0.506586458663136,NFLX_baseline_Training
0.04161709225202606,0.051800958851255484,-0.4177532891913709,424.64641928627964,0.8048780487804879,0.7777777777777778,0.9130434782608695,0.84,0.9057971014492754,NFLX_full_Validation
0.03719168428069429,0.04442085989096772,-0.042555031586858805,338.1535636145844,0.4878048780487805,1.0,0.08695652173913043,0.16,0.7729468599033816,NFLX_fin_Validation
0.032831377798897526,0.039929879110699416,0.15759476557365948,201.18420509387153,0.5609756097560976,1.0,0.21739130434782608,0.3571428571428571,0.9227053140096619,NFLX_news_Validation
0.05260078945393803,0.06813529526244214,-1.4528407381023256,355.40270140325805,0.43902439024390244,0.5,0.43478260869565216,0.46511627906976744,0.3840579710144928,NFLX_baseline_Validation
0.08046644244274019,0.0987911627132674,-1.52110738487025,322.27228820361563,0.509090909090909,0.5185185185185185,0.5,0.509090909090909,0.43783068783068785,NFLX_full_Testing
0.0461661836248001,0.060943942755432114,0.04056347958404383,117.3451851028605,0.6363636363636364,0.75,0.42857142857142855,0.5454545454545454,0.7328042328042328,NFLX_fin_Testing
0.05002622941899709,0.06547797251123329,-0.10750474955003564,128.87319095418758,0.509090909090909,1.0,0.03571428571428571,0.0689655172413793,0.6111111111111112,NFLX_news_Testing
0.066305940224698,0.0861760108650055,-0.9183503419039294,310.20008579888525,0.6727272727272727,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7275132275132276,NFLX_baseline_Testing
0.03726261249563792,0.046983082387526784,0.6806259296323293,680.9580947940758,0.7956656346749226,0.8924302788844621,0.6808510638297872,0.7724137931034482,0.9043847621604518,TSLA_full_Training
0.06455001977478107,0.08223161514058679,0.021649925069868958,151.7956589237093,0.5619195046439629,0.5732484076433121,0.547112462006079,0.5598755832037325,0.5558954100466954,TSLA_fin_Training
0.05285609608729637,0.06750619815901764,0.34066832309956907,534.0850499763732,0.6702786377708978,0.7027972027972028,0.6109422492401215,0.6536585365853658,0.7543075757721035,TSLA_news_Training
0.08547118885757289,0.10920434681316823,-0.7254266146771968,783.5491449831366,0.5294117647058824,0.5382262996941896,0.5349544072948328,0.5365853658536586,0.5392020557467903,TSLA_baseline_Training
0.050347105271128755,0.06396665734375946,-0.07977004508226004,195.76792175024445,0.7317073170731707,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.8235294117647058,TSLA_full_Validation
0.052905068850033515,0.062239775758979675,-0.022256781448078078,124.50859065048354,0.5121951219512195,0.4,0.35294117647058826,0.37500000000000006,0.5808823529411766,TSLA_fin_Validation
0.04368414119292493,0.05035210072408063,0.33094911369850166,136.23411903234427,0.7317073170731707,0.65,0.7647058823529411,0.7027027027027027,0.7843137254901961,TSLA_news_Validation
0.07619021985492475,0.09228097819238208,-1.2472342257142532,444.28833422985343,0.5121951219512195,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.47794117647058826,TSLA_baseline_Validation
0.08874186592441012,0.11759895807793627,-1.3225355967525294,243.87319710662493,0.38181818181818183,0.35,0.25,0.2916666666666667,0.43121693121693117,TSLA_full_Testing
0.06518221941240454,0.07961324267009083,-0.06445193943352545,100.44335438178169,0.34545454545454546,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.32142857142857145,TSLA_fin_Testing
0.06591784626154339,0.08236762279444311,-0.13937974648269646,125.83260815166764,0.4727272727272727,0.47368421052631576,0.32142857142857145,0.3829787234042553,0.4973544973544973,TSLA_news_Testing
0.09559627624154296,0.10563297435692912,-0.8739346791058424,353.47052068090267,0.4909090909090909,0.5,0.4642857142857143,0.4814814814814815,0.5092592592592593,TSLA_baseline_Testing
